title,type,Unnamed: 0,sells,price
荣耀+10,8GB 128GB,119.0,47036,1799.0
vivo+z5x,8GB+128GB,121.0,46611,1664.67
红米+7a,2GB+32GB,1444.67,45289,530.33
魅族+16,16 Plus（8GB+128GB）,123.0,45175,1898.0
三星+galaxys10+,8GB+128GB,1557.67,44693,5288.67
小米+小米9se,8GB+128GB,2311.5,44347,1755.38
oppo+reno,8GB+128GB,763.67,44200,3730.54
华为+nova3i,4GB+128GB,128.0,43144,1399.0
apple+iphone11,全网通 128GB,1040.86,41768,5744.91
红米+k20pro,8GB+512GB,131.0,41311,2999.0
魅族+16,全网通（6GB 128GB）,186.0,41192,2476.0
华为+mate30,6GB+128GB,2282.5,39623,3999.0
华为+nova4,8GB+128GB 2000万,135.0,38497,2699.0
oppo+a5,3GB+32GB,136.0,38463,674.0
小米+mix2s,8GB+256GB,1080.5,38354,1854.0
飞利浦+e517,E152Y,138.0,38125,179.0
锤子+坚果r1,6+128G,139.0,38057,1999.0
一加+7pro,6GB 128GB,140.0,37997,3999.0
apple+iphone8plus,全网通 64GB,141.0,36590,4160.5
真我+真我q,4GB+64GB,142.0,36572,1031.33
oppo+k5,8GB+128GB,143.0,36488,2104.0
三星+galaxynote10,标准版,239.5,36111,7524.0
荣耀+20i,全网通（6GB 256GB）,144.0,35271,1799.0
vivo+iqoo,8GB  128GB,546.5,34806,2298.0
魅族+note9,全网通（4GB 64GB）,146.0,34626,1099.0
魅族+16,全网通（8GB 128GB）,198.5,34584,2795.0
魅族+16,16th（8GB+128GB）,148.0,33771,1798.0
apple+iphonexr,全网通 64GB,1101.67,33593,4669.78
真我+真我q,6GB+64GB,149.0,32781,1322.75
apple+iphonexsmax,512GB,150.0,32770,8421.67
apple+iphone11,全网通 64GB,968.44,32769,5890.81
真我+x,4GB+64GB,215.5,31223,1099.0
vivo+u1,3GB 32GB,768.0,30733,724.0
魅族+x8,6GB+64GB,154.0,29916,949.0
apple+iphone8,全网通 64GB,156.0,29632,3199.0
apple+iphonex,64G 全网通,1851.35,26730,3431.86
oppo+renoz,8GB+128GB,160.0,26689,2264.0
美图+t9,4+64GB,161.0,26653,1065.67
vivo+x27,8GB+256GB,1668.33,26630,2482.0
荣耀+20,全网通（4GB 64GB）,162.0,25909,1099.0
红米+7,6GB+128GB,163.0,25495,1699.0
美图+t9,6+128GB,164.0,25263,1399.0
apple+iphone11promax,64GB,2075.0,25217,9300.58
荣耀+10,全网通（8GB 128GB）,230.5,24985,2149.0
真我+x,6GB+128GB,542.0,24609,2965.66
荣耀+10,6GB 128GB,166.0,24181,1699.0
oppo+k3,全网通,1075.5,24128,1832.33
一加+7,12GB 256GB,169.0,23983,3398.5
联想+z5,6GB+64GB,1320.67,23613,856.33
魅族+16,16 Plus（6GB+128GB）,171.0,23613,1748.0
锤子+坚果r1,8+128G,172.0,23303,2499.0
oppo+k3,官方标配,385.2,23244,1705.38
真我+真我q,8GB+128GB,173.0,23112,1598.0
apple+iphone7,128G,1470.38,22713,1988.36
红米+k20,8GB+256GB,1351.5,22707,1799.0
一加+7,8GB 128GB,177.0,21811,3179.0
华为+nova6,5G SA/NSA双模,178.0,21795,3999.0
荣耀+8x,全网通（4GB 128GB）,181.0,21152,1549.0
黑鲨+,8GB+256GB,182.0,21054,2764.0
小米+小米9,12GB+512GB,1624.6,20760,4468.8
vivo+iqoo,6GB+128GB,2776.0,20757,1788.83
努比亚+x,8GB+128GB,977.5,20246,2470.66
魅族+note9,全网通（6GB 64GB）,188.0,19938,1199.0
华为+p30,全网通(8G+128G),260.0,18503,4154.28
oppo+reno10,6GB+128GB,193.0,18345,3706.5
荣耀+magic2,全网通（8GB 256GB）,194.0,18019,2299.0
锤子+坚果pro3,标准版,195.0,17794,2979.0
小米+cc9,8GB+128GB,1133.0,17174,2714.58
荣耀+8x,4GB+64GB 标配版,196.0,16847,999.0
vivo+iqoo,8GB+256GB,2580.12,16556,2855.94
apple+iphone8plus,128GB,2030.0,16500,4999.0
apple+iphone8,128GB,199.0,16430,3999.0
小米+cc9,8GB+256GB,2675.38,16295,2665.33
天语+s8,2G,200.0,16273,84.0
