,title,store,type,sells,price
48,['华为P20 Pro '],['福气多多手机旗舰店'],全网通6G+128G【华为官方直供】,6325,4488.0
49,['【二手9成新】Apple iPhone6 Plus 苹果6Plus'],['经典二手商品专营店'],16G 全网通,6247,824.0
50,['【二手9成新】Apple iPhone6s Plus 苹果6s Plus 二手'],['经典二手商品专营店'],64G 全网通,6220,1232.5
51,['荣耀畅玩8A 华为智能老人'],['佳沪手机旗舰店'],全网通3G+32G,6202,583.0
52,['华为（HUAWEI） 华为nova3 '],['掌视界数码旗舰店'],全网通(6G+128G),6131,1877.8
53,['华为 HUAWEI  畅享10 极点全面屏4800万超清夜景4000mAh大电池 6GB+64GB天空之境全网通双4G'],['华为京东自营官方旗舰店'],4GB+64GB,6066,1199.0
54,['华为（HUAWEI）荣耀10青春版 全网通版移动联通电信4G 双卡双待 全面屏智能'],['众盛手机专营店'],(4G RAM+64G ROM),5791,893.25
55,['【二手9成新】华为'],['腾龙二手商品专营店'],4+64G 全网通,5765,607.89
56,['华为（HUAWEI）荣耀Play3 4800万AI三摄 全网通版移动联通电信4G 双卡双待全面屏'],['众盛手机专营店'],(4G RAM+64G ROM),5585,820.5
57,['【二手9成新】【白条6期免息】OPPO R11 智能安卓 拍照'],['唯尔优品二手商品专营店'],4G+64G 全网通,5486,677.5
58,['华为（HUAWEI） 荣耀9i 移动联通电信全网通4G 全面屏智能老人'],['众盛手机专营店'],(4G RAM+64G ROM),5463,1109.0
59,['【华为官方直供】华为'],['臻火旗舰店'],8+256GB全网通,5396,4988.0
60,['OPPO A11 5000mAh大电池 AI四摄 视频防抖 6GB+256GB 暮辰紫 全网通4G 全面屏拍照游戏智能'],['OPPO京东自营官方旗舰店'],4GB+128GB,5294,1299.0
61,['【二手9成新】华为'],['腾龙二手商品专营店'],2+16G 全网通,5277,265.0
62,['【二手9成新】Apple iPhone 6s 苹果6s 二手'],['马上优品二手商品旗舰店'],64G 全网通,5237,921.25
63,['【二手9成新】苹果6s'],['翱行二手商品专营店'],64G 全网通,5156,923.25
64,['魅族（MEIZU） 魅族S6 魅蓝S6 全面屏'],['佳沪手机旗舰店'],全网通(3GB+64GB),5106,606.0
65,['【二手9成新】【白条6期免息】OPPO R9s 二手'],['唯尔优品二手商品专营店'],4G+64G 全网通,5089,583.0
66,['誉品（YEPEN） YP958 4G全网通老年'],['誉品手机官方旗舰店'],官方标配(移动联通2G）,5087,61.67
67,['红鸟H2儿童'],['红鸟手机官方旗舰店'],移动双卡-普通版,5072,99.0
68,['三星 Galaxy A8s 全面屏'],['三星手机京东自营官方旗舰店'],8GB+128GB,5049,2599.0
69,['【二手9成新】Apple iPhone 6Plus 苹果 '],['信谊二手商品专营店'],64G 全网通,4960,1021.33
70,['vivo X30 5G 秘银 8GB+128GB 6400万拍照'],['vivo京东自营官方旗舰店'],8GB+128GB,4892,3298.0
71,['纽曼（Newman） L99S老年'],['纽曼手机旗舰店'],移动版,4814,99.0
72,['【二手9成新】Apple iPhone6 二手苹果6 二手'],['泰业优品二手手机旗舰店'],16G 全网通,4576,688.0
73,['华为 HUAWEI  畅享10 极点全面屏4800万超清夜景4000mAh大电池 6GB+64GB天空之境全网通双4G'],['华为京东自营官方旗舰店'],4GB+128GB,4569,1399.0
74,['vivo S5 8GB+128GB 冰岛恋歌 前置3200万写真级自拍 4800万菱感四摄极点屏'],['vivo京东自营官方旗舰店'],官方标配,4497,2818.0
75,['酷派（Coolpad）S688 黑色 移动联通2G 老人'],['酷派（Coolpad）京东自营专卖店'],S628,4402,69.0
76,['【二手9成新】Apple  iPhone 6s 苹果6s 二手'],['泰业优品二手手机旗舰店'],64G 全网通,4293,929.5
77,['vivo\xa0NEX 3\xa05G 深空流光 8GB+256GB\xa0无界瀑布屏\xa0高通骁龙855Plus\xa06400万三摄 5G智慧旗舰新品'],['vivo京东自营官方旗舰店'],12GB+256GB,4141,5498.0
78,['联想Z6 6GB+128GB 蓝色 骁龙730 AIE处理器 4000mAh续航  屏幕光电指纹 后置三摄 全网通4G 双卡双待'],['联想手机京东自营官方旗舰店'],8GB+128GB,4136,1449.0
79,['中兴 ZTE Blade 20 Smart孝心版 魔力红 4GB+128GB全网通 高清三摄 4G双卡双待中兴新品老人机智能'],['中兴京东自营官方旗舰店'],标准版,4126,899.0
80,['金立 Gionee K3 6GB+128GB 极光蓝 5000mAh大电池 后置双摄 6.2英寸水滴屏 微信8开 全网通4G 双卡双待'],['金立手机京东自营旗舰店'],6GB+128GB,4078,949.0
81,['诺基亚 NOKIA 110 黑色 直板按键 移动联通2G'],['诺基亚手机京东自营旗舰店'],110,4061,179.0
82,['酷派 cool 9 珍珠全面屏 4GB+64GB 人脸指纹双识别 私密双系统 8层镀陶 极光色 移动联通电信4G'],['酷派京东自营旗舰店'],酷玩8 Lite,3993,499.0
83,['华为（HUAWEI）荣耀Magic2 魔术2 魔法 '],['华信通手机专营店'],全网通 8GB+128GB,3979,1828.0
84,['【二手9成新】【白条6期免息】vivo'],['唯尔优品二手商品专营店'],4G+64G 全网通,3907,588.0
85,['【二手9成新】Apple iphone 6 Plus 苹果6plus 二手'],['马上优品二手商品旗舰店'],64G 全网通,3868,983.0
86,['酷派（Coolpad） 酷玩7 刘海全面屏 高清双摄 4GB+64GB 星空黑  移动联通电信4G'],['酷派京东自营旗舰店'],全网通（4GB 64GB）,3859,899.0
