title,store,Unnamed: 0,sells,price
荣耀+8x,['牧申手机旗舰店'],887.0,22175,1151.44
vivo+z5,['vivo官方旗舰店'],883.86,22049,1726.57
apple+iphone7,['佳沪手机旗舰店'],986.0,21812,3511.42
努比亚+红魔,['努比亚京东自营旗舰店'],239.0,21649,1999.0
apple+iphone11,['同达丰手机旗舰店'],1236.0,20747,7741.63
apple+iphonexsmax,['佳沪手机旗舰店'],1148.75,18476,8090.67
锤子+坚果pro3,['坚果手机京东自营旗舰店'],2178.0,17794,3101.5
oppo+a5,['OPPO手机乐良专卖店'],1110.14,16838,963.29
apple+iphone7,['发动机优品二手手机专营店'],1699.86,16663,1671.96
oppo+k3,['OPPO酷炫手机专卖店'],491.5,16584,1793.79
中兴+bladea7,['中兴京东自营官方旗舰店'],279.0,16415,573.5
荣耀+8x,['OKSJ手机旗舰店'],345.33,15631,1107.53
联想+z5pro,['联想手机京东自营官方旗舰店'],275.5,15585,1288.5
apple+iphone11,['疆界互联旗舰店'],2254.17,14824,7824.26
apple+iphonexs,['佳沪手机旗舰店'],1858.5,14615,9403.5
华为+p30,['OKSJ手机旗舰店'],653.71,14401,4304.9
vivo+x27,['vivo官方旗舰店'],1009.25,13874,2648.0
荣耀+20i,['京铠玄手机旗舰店'],530.67,13870,1364.69
小米+小米9,['疆界互联旗舰店'],1701.89,13745,3616.12
荣耀+10,['疆界互联旗舰店'],1646.33,13734,1550.77
荣耀+10,['掌视界数码旗舰店'],995.33,13716,1068.78
华为+mate20pro,['疆界互联旗舰店'],1995.5,13630,4986.08
华为+nova4,['掌视界数码旗舰店'],768.4,13345,1636.22
红米+7,['明日数码旗舰店'],765.4,13149,887.25
apple+iphonex,['马上优品二手商品旗舰店'],1838.88,12650,3848.4
apple+iphonex,['泰业优品二手手机旗舰店'],2405.48,12247,4430.09
荣耀+8x,['掌视界数码旗舰店'],508.0,12181,1151.17
apple+iphone11,['炜东电商旗舰店'],1435.83,11604,7761.62
华为+nova4,['京铠玄手机旗舰店'],1226.0,11569,1343.0
apple+iphone7,['泰业优品二手手机旗舰店'],1509.45,11537,1778.8
apple+iphone11,['新松联手机旗舰店'],1788.0,11229,8692.94
华为+nova5pro,['炜东电商旗舰店'],410.0,11046,2699.0
华为+nova5,['京铠玄手机旗舰店'],1243.57,10960,1898.05
oppo+reno,['OPPO酷炫手机专卖店'],1846.5,10857,3056.64
