,store,commentcount,location,count
107,"""广东电信亿品汇专卖店""",4962.0,广东 深圳,1
108,"""时尚麻豆家企业店铺""",1978.0,广东 深圳,1
109,"""小唐1688""",10439.0,上海,1
110,"""易购时代配件行""",696.0,广东 深圳,1
111,"""苏宁易购官方旗舰店""",4862.0,江苏 南京,1
112,"""heatlinda""",17416.0,广东 深圳,1
113,"""heatlinda""",1345.0,广东 深圳,1
114,"""苏宁易购官方旗舰店""",9208.0,江苏 南京,1
115,"""浅浅搭依_小店""",708.0,广东 深圳,1
116,"""vivo官方旗舰店""",984.0,广东 东莞,1
117,"""苏宁易购官方旗舰店""",2893.0,江苏 南京,1
118,"""周宏亮""",6373.0,广东 深圳,1
119,"""苏宁易购官方旗舰店""",676.0,江苏 南京,1
120,"""天南通讯""",4249.0,广东 深圳,1
121,"""苏宁易购官方旗舰店""",9210.0,江苏 南京,1
122,"""华强北品牌数码""",1136.0,广东 深圳,1
123,"""zhoujinchun1124""",537.0,广东 深圳,1
124,"""天讯蓝图数码专营店""",4934.0,广东 深圳,1
125,"""魅族官方旗舰店""",3460.0,广东 珠海,1
126,"""炜广天成数码专营店""",1876.0,广东 深圳,1
127,"""百度网盘旗舰店""",11282.0,北京,1
128,"""晟功数码专营店""",4186.0,广东 深圳,1
129,"""小米官方旗舰店""",15220.0,北京,1
130,"""小米官方旗舰店""",6283.0,北京,1
131,"""尚亿汇通数码专营店""",1415.0,广东 深圳,1
132,"""苏宁易购官方旗舰店""",775.0,江苏 南京,1
133,"""创于佳讯数码专营店""",1264.0,广东 深圳,1
134,"""百度网盘旗舰店""",3157.0,北京,1
135,"""cherryshop爆潮""",802.0,广东 深圳,1
136,"""京合旗舰店""",2202.0,安徽 合肥,1
137,"""红海点卡专营店""",506.0,湖北 武汉,1
138,"""kee123""",1401.0,广东 深圳,1
139,"""realme官方旗舰店""",13086.0,广东 东莞,1
140,"""绿森数码官方旗舰店""",1424.0,浙江 杭州,1
141,"""俞小wen""",770.0,广东 深圳,1
142,"""因尔科技""",808.0,广东 深圳,1
143,"""品牌机批发店""",11591.0,广东 深圳,1
144,"""苏宁易购官方旗舰店""",3309.0,江苏 南京,1
145,"""妞妞之女王路人甲""",1019.0,广东 深圳,1
146,"""华为官方旗舰店""",23172.0,广东 深圳,1
147,"""realme官方旗舰店""",13839.0,广东 东莞,1
148,"""东旭启信数码专营店""",3496.0,广东 深圳,1
149,"""华为官方旗舰店""",15210.0,广东 深圳,1
150,"""纽曼世腾专卖店""",19016.0,广东 深圳,1
151,"""苏宁易购官方旗舰店""",2335.0,江苏 南京,1
152,"""地球上的智商人""",503.0,广东 深圳,1
153,"""koobee手机旗舰店""",775.0,广东 深圳,1
154,"""硕王东鑫城专卖店""",2755.0,广东 深圳,1
155,"""魅族官方旗舰店""",6313.0,广东 珠海,1
156,"""vivo官方旗舰店""",3301.0,广东 东莞,1
157,"""龙通店""",22004.0,广东 深圳,1
158,"""海创辉煌数码""",494.0,广东 深圳,1
159,"""苏宁易购官方旗舰店""",4446.0,江苏 南京,1
160,"""朵唯宇钧汇专卖店""",1069.0,广东 深圳,1
161,"""苏宁易购官方旗舰店""",3995.0,江苏 南京,1
162,"""vivo官方旗舰店""",781.0,广东 东莞,1
163,"""创皂美丽时代创美""",1499.0,广东 深圳,1
164,"""彩虹色的蜻蜓""",1727.0,广东 深圳,1
165,"""国货平价网""",5237.0,广东 深圳,1
166,"""oppo官方旗舰店""",679.0,广东 东莞,1
167,"""小米官方旗舰店""",3508.0,北京,1
168,"""给力不坑爹""",1891.0,广东 深圳,1
169,"""荣耀官方旗舰店""",31477.0,广东 深圳,1
170,"""苏宁易购官方旗舰店""",6083.0,江苏 南京,1
171,"""硕王捷信时代专卖店""",6996.0,广东 深圳,1
172,"""百度网盘旗舰店""",8236.0,北京,1
173,"""波导七星级专卖店""",6757.0,广东 深圳,1
174,"""三际数码官方旗舰店""",4400.0,山东 济南,1
175,"""京联通达数码旗舰店""",9746.0,北京,1
176,"""heatlinda""",19066.0,广东 深圳,1
177,"""蓝港数码专营店""",4156.0,广东 深圳,1
178,"""福禄网游数卡专营店""",231.0,湖北 武汉,1
179,"""美图好手机""",1512.0,广东 深圳,1
180,"""苏宁易购官方旗舰店""",6825.0,江苏 南京,1
181,"""vivo官方旗舰店""",776.0,广东 东莞,1
182,"""小淘器数码专营店""",15938.0,安徽 合肥,1
183,"""米凌数码专营店""",2735.0,广东 深圳,1
