,title,store,type,sells,price
76,红米+k20,['小米京东自营旗舰店'],6GB+128GB,87902,1699.0
77,华为+mate30pro,['华为京东自营官方旗舰店'],8GB+128GB,86422,5799.0
78,华为+nova5,['华为京东自营官方旗舰店'],6GB+128GB,81003,2199.0
79,小米+max3,['小米京东自营旗舰店'],4GB+64GB,80081,999.0
80,荣耀+magic2,['荣耀京东自营旗舰店'],全网通（8GB 128GB）,79334,1799.0
81,魅族+x8,['魅族京东自营旗舰店'],4GB+64GB,78288,799.0
82,华为+畅享9,['华为京东自营官方旗舰店'],3GB+32GB,78268,899.0
83,荣耀+10,['荣耀京东自营旗舰店'],全网通（6GB 128GB）,76562,1765.67
84,vivo+z5,['vivo京东自营官方旗舰店'],6GB+128GB,71860,1598.0
85,黑鲨+,['黑鲨京东自营官方旗舰店'],8GB+128GB,71840,2703.0
86,真我+x,['realme真我京东自营旗舰店'],6GB+64GB,71201,1199.0
87,华为+p30,['华为京东自营官方旗舰店'],8GB+256GB,69361,4488.0
88,华为+畅享9plus,['华为京东自营官方旗舰店'],6GB+128GB,67799,1799.0
89,小米+小米9se,['小米京东自营旗舰店'],6GB+128GB,67600,1599.0
90,华为+p30,['华为京东自营官方旗舰店'],6GB+128GB,66445,3688.0
91,vivo+iqoo,['vivo京东自营官方旗舰店'],12GB+128GB,65689,3689.67
92,魅族+16,['魅族京东自营旗舰店'],16th（6GB+64GB）,62353,1598.0
93,华为+nova5pro,['华为京东自营官方旗舰店'],8GB+256GB,60692,3465.67
94,三星+galaxya60,['三星手机京东自营官方旗舰店'],6GB+64GB,60359,1499.0
95,红米+k20pro,['小米京东自营旗舰店'],12GB+512GB,59394,2799.0
96,小米+cc9,['小米京东自营旗舰店'],6GB+128GB,58441,1699.0
97,一加+7pro,['一加手机京东自营官方旗舰店'],12GB 256GB,57876,4648.5
98,荣耀+20i,['荣耀京东自营旗舰店'],全网通（4GB 128GB）,57064,1299.0
99,vivo+z5,['vivo京东自营官方旗舰店'],6GB+64GB,57057,1398.0
100,apple+iphonexr,['Apple产品京东自营旗舰店'],256GB,57038,6481.67
101,华为+mate30pro,['华为京东自营官方旗舰店'],8GB+256GB,56957,6299.0
102,vivo+u3x,['vivo京东自营官方旗舰店'],4GB+64GB,56314,999.0
103,红米+7a,['佳沪手机旗舰店'],全网通 3G+32G,55136,529.0
104,三星+galaxys10,['三星手机京东自营官方旗舰店'],8GB+128GB,54888,5999.0
105,一加+7,['一加手机京东自营官方旗舰店'],8GB 256GB,54789,3379.0
106,apple+iphone11,['Apple产品京东自营旗舰店'],256GB,54720,7281.67
107,华为+畅享9,['华为京东自营官方旗舰店'],3GB+64GB,54318,1124.0
108,红米+k20pro,['小米京东自营旗舰店'],6GB+64GB,52586,1999.0
109,apple+iphone11,['Apple产品京东自营旗舰店'],64GB,52035,9321.67
110,oppo+a5,['OPPO京东自营官方旗舰店'],3GB+64GB,51825,899.0
111,小米+小米9se,['小米京东自营旗舰店'],6GB+64GB,50331,1399.0
112,oppo+k5,['OPPO京东自营官方旗舰店'],6GB+128GB,49892,1977.43
113,荣耀+9i,['疆界互联旗舰店'],全网通4+128G,49830,1149.0
114,华为+p30,['华为京东自营官方旗舰店'],8GB+64GB,49519,3688.0
115,vivo+z3,['vivo官方旗舰店'],6GB  64GB,48519,1098.0
116,努比亚+红魔3,['努比亚京东自营旗舰店'],8GB+128GB,48465,2512.0
117,oppo+reno,['OPPO京东自营官方旗舰店'],6GB+128GB,48064,2175.67
118,红米+note8,['小米京东自营旗舰店'],6GB+128GB,47737,1299.0
119,荣耀+10,['荣耀京东自营旗舰店'],8GB 128GB,47036,1799.0
120,vivo+x27,['vivo京东自营官方旗舰店'],8GB+128GB,47013,2498.0
121,vivo+z5x,['vivo京东自营官方旗舰店'],8GB+128GB,46611,1664.67
122,vivo+iqoo,['vivo京东自营官方旗舰店'],8GB+128GB,45929,3348.0
123,魅族+16,['魅族京东自营旗舰店'],16 Plus（8GB+128GB）,45175,1898.0
124,红米+7a,['小米京东自营旗舰店'],2GB+32GB,45060,539.0
125,华为+nova5,['华为京东自营官方旗舰店'],6GB+128GB,44794,1999.0
126,小米+小米9se,['小米京东自营旗舰店'],8GB+128GB,44347,1799.0
127,三星+galaxys10+,['三星手机京东自营官方旗舰店'],8GB+128GB,44132,6999.0
128,华为+nova3i,['华为京东自营官方旗舰店'],4GB+128GB,43144,1399.0
129,oppo+reno,['OPPO京东自营官方旗舰店'],8GB+128GB,42526,3227.0
130,真我+x,['realme真我京东自营旗舰店'],6GB+64GB,41477,1199.0
131,红米+k20pro,['小米京东自营旗舰店'],8GB+512GB,41311,2999.0
132,oppo+reno,['OPPO京东自营官方旗舰店'],8GB+256GB,41239,3359.0
133,小米+cc9,['小米京东自营旗舰店'],6GB+128GB,40783,1299.0
134,华为+mate30,['华为京东自营官方旗舰店'],6GB+128GB,39623,3999.0
135,华为+nova4,['华为京东自营官方旗舰店'],8GB+128GB 2000万,38497,2699.0
136,oppo+a5,['OPPO京东自营官方旗舰店'],3GB+32GB,38463,674.0
137,小米+mix2s,['小米京东自营旗舰店'],8GB+256GB,38226,2099.0
